sample	locus	read_count	molecule_count
10R_S5_R1_001	ABCC3	1	1
10R_S5_R1_001	ACADSB	13	13
10R_S5_R1_001	ANXA2	1836	1798
10R_S5_R1_001	ANXA4	320	317
10R_S5_R1_001	AOX1	7	7
10R_S5_R1_001	APOD	11	11
10R_S5_R1_001	AQP3	61	61
10R_S5_R1_001	ARG2	4	4
10R_S5_R1_001	ARID5B	10	10
10R_S5_R1_001	BCL6	6	6
10R_S5_R1_001	C10orf10	23	23
10R_S5_R1_001	C1R	181	180
10R_S5_R1_001	C4BPA	8	8
10R_S5_R1_001	CD55	27	27
10R_S5_R1_001	CEBPD	140	137
10R_S5_R1_001	CFD	27	27
10R_S5_R1_001	CLDN4	104	103
10R_S5_R1_001	COMP	4	4
10R_S5_R1_001	CP	39	39
10R_S5_R1_001	CRABP2	64	64
10R_S5_R1_001	CYC1	83	83
10R_S5_R1_001	DDX52	9	9
10R_S5_R1_001	DEFB1	81	81
10R_S5_R1_001	DKK1	9	9
10R_S5_R1_001	DPP4	7	7
10R_S5_R1_001	DYNLT3	144	144
10R_S5_R1_001	EDN3	22	22
10R_S5_R1_001	EDNRB	12	10
10R_S5_R1_001	EFNA1	31	31
10R_S5_R1_001	ENPEP	7	7
10R_S5_R1_001	ERCC_00004	1122	1098
10R_S5_R1_001	ERCC_00108	132	131
10R_S5_R1_001	ERCC_00116	31	31
10R_S5_R1_001	ERCC_00136	204	203
10R_S5_R1_001	G0S2	78	78
10R_S5_R1_001	GADD45A	22	22
10R_S5_R1_001	GBP2	90	90
10R_S5_R1_001	GNLY	715	707
10R_S5_R1_001	GPX3	19	19
10R_S5_R1_001	HABP2	4	4
10R_S5_R1_001	HMBS	17	17
10R_S5_R1_001	ID4	166	165
10R_S5_R1_001	IDO1	152	150
10R_S5_R1_001	IGFBP1	4	4
10R_S5_R1_001	IL15	39	38
10R_S5_R1_001	LAMB3	10	9
10R_S5_R1_001	MAOA	103	103
10R_S5_R1_001	MAP3K5	21	21
10R_S5_R1_001	MMP7	7	7
10R_S5_R1_001	MT1G	3090	3000
